filename,category,one_line_description,suggested_implementation
00_START.md,orchestration,Gate runner entry point and state machine setup,Python state machine bootstrap in gate_runner.py (no LLM)
01_EVIDENCE_ADEQUACY.md,llm-judged,Reviews whether evidence packets are sufficient for downstream gates,Single Claude call returning {decision: ALREADY_ADEQUATE|UPGRADE_REQUIRED|BLOCKED, gaps: []}
02_TEST_AND_EVIDENCE_PLAN.md,hybrid,Builds the test/evidence plan when adequacy says upgrade needed,Python scaffolds plan file from template + Claude call to fill gap rows
03_EVIDENCE_CONSISTENCY.md,hybrid,8 consistency checks: SHA/diff/path/staleness/contradiction,Python runs the mechanical checks (SHA match git status diff equality) + Claude judges narrative contradictions
04_PANEL_ENTRY.md,orchestration,Cycle counter check + transition into 5-reviewer panel,Python reads CYCLE_TRACKER and gates entry (no LLM)
05_R1_REQUIREMENTS.md,llm-judged,Reviewer 1 builds requirements traceability matrix,Single Claude call with R1 role prompt returns RTM rows + BLOCKING flags
06_R2_ACTIVE_PROOF.md,llm-judged,Reviewer 2 classifies proof type per behavior (active path vs source-only),Single Claude call with R2 role prompt
07_R3_AI_PATTERNS.md,llm-judged,Reviewer R3 looks for common AI-error patterns,Single Claude call with role prompt + catalog of patterns
08_R4_HANDOFF.md,llm-judged,Reviewer 4 checks handoff/manifest/evidence completeness,Single Claude call with R4 role prompt
09_R5_ADJUDICATION.md,llm-judged,Reviewer 5 synthesizes R1-R4 reports into the only verdict,Single Claude call with R5 role prompt returning READY_FOR_REVIEW|NEEDS_CORRECTION|BLOCKED|STOP_AND_REDESIGN
10_GATE_VERDICT.md,deterministic,Maps R5 verdict + enforcement override to gate verdict,Python lookup table (R5 verdict + enforcement_audit_result) -> gate verdict
11_FIX_CYCLE.md,hybrid,Fix loop: enumerate AUTOFIX blockers and dispatch to implementer,Python enumerates blockers from adjudication.yaml + Claude call to implement fixes
12_PASS_HANDOFF.md,deterministic,Terminal success state - writes PASS_HANDOFF_COMPLETE to CURRENT_STATE,Python writes terminal state + verifies all 5 prerequisite states recorded
13_BLOCKED_HANDOFF.md,deterministic,Terminal blocked state - writes BLOCKED_HANDOFF_COMPLETE,Python writes terminal state + serializes remaining_human_blocked_blockers
14_ENFORCEMENT_AUTHORITY_AUDIT.md,hybrid,Audits that authority claims match enforcement code,grep + AST check in Python for protected actions + Claude judges whether detected-only vs prevented
15_FINAL_PACKAGE_AUDIT.md,deterministic,Mechanical audit of manifest vs package contents,Python compares MANIFEST claims to file listing + tools/check_gate_package.py --final
16_CANONICAL_HANDOFF_AUDIT.md,deterministic,Verifies all status-bearing documents agree on one verdict,Python collects PASS/FAIL/BLOCKED tokens across docs and checks consistency
17_EXECUTION_CONTEXT_AUDIT.md,deterministic,Verifies branch/HEAD/worktree claims match actual git state,Python parses git log + git rev-parse + cross-checks against claimed context
18_GATE_PROFILE_SELECTION.md,hybrid,First step: select gate profile from risk tier + task kind,Python lookup table on risk_tier+task_kind + Claude fallback when prompt-derived tier is ambiguous
19_PROMPT_CONTRACT_REVIEW.md,llm-judged,Reviews implementer prompt for ambiguity/scope/overclaim risks,Single Claude call applying contract-review checks to the prompt text
20_PRODUCTION_CALLER_ACTIVE_PATH_AUDIT.md,deterministic,Proves a production caller exists for newly exported symbols,grep for imports across non-test code + Python verdict (PRODUCTION_WIRED|TEST_HELPER_ONLY|STRANDED)
21_CONSUMER_API_PROOF_AUDIT.md,hybrid,Verifies tests exercise the consumer API not raw DB/file probes,Python AST scan of test files for API calls + Claude judges whether test path matches consumer path
22_WARNING_OUTPUT_AUDIT.md,deterministic,Scans raw outputs for warnings that contradict success claims,Python regex on raw outputs for EXIT_CODE/WARN/ENOENT/fallback tokens
23_REQUIRED_TEST_SET_EXACTNESS.md,deterministic,Confirms exact required test files were run and EXIT_CODE:0 present in raw output,Python diff between required-test list and observed-test list + regex on raw output
24_MIGRATION_RUNNER_PROOF.md,hybrid,Proves migrations were applied by the real runner not manually,Python runs migration runner --dry-run + Claude judges whether observed registry state matches claims
25_IMPLEMENTER_PROMPT_LINT.md,deterministic,Lints the implementer prompt for invalid snippets/broken refs,Python regex + tree-sitter syntax check on prompt code blocks + path resolution check
26_STRANDED_HELPER_UNUSED_EXPORT_AUDIT.md,deterministic,Detects helper functions defined but never imported by production,grep across worktree for imports + Python verdict per symbol
27_DIRTY_WORKTREE_RECURRENCE_AUDIT.md,deterministic,Checks git status is clean and recurring dirty paths flagged,subprocess git status --porcelain + cross-ref against prior gate runs ledger
